Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Length
?a  P131  ?b  ?b  P17  ?p  ?p  P36  ?b   => ?a  P159  ?b	0.042253520999999995	0.088036117	0.8297872340000001	39	443	47	?a	3
?a  P131  ?b  ?b  P131  ?p  ?p  P36  ?b   => ?a  P159  ?b	0.02383532	0.15942029	0.7857142859999999	22	138	28	?a	3
?a  P159  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P159  ?b	0.481040087	0.15971223	0.15971223	444	2780	2780	?a	3
?a  P112  ?h  ?h  P27  ?n  ?n  P36  ?b   => ?a  P159  ?b	0.061755146	0.091935484	0.155313351	57	620	367	?a	3
?a  P113  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P159  ?b	0.042253520999999995	0.108033241	0.166666667	39	361	234	?a	3
?a  P113  ?h  ?h  P138  ?n  ?n  P19  ?b   => ?a  P159  ?b	0.015167931	0.28	0.325581395	14	50	43	?a	3
?a  P113  ?h  ?h  P138  ?n  ?n  P20  ?b   => ?a  P159  ?b	0.010834236	0.23255814	0.263157895	10	43	38	?a	3
?a  P131  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P159  ?b	0.044420367999999995	0.020791075	0.157088123	41	1972	261	?a	3
?a  P131  ?h  ?h  P131  ?n  ?n  P36  ?b   => ?a  P159  ?b	0.024918742999999997	0.047619048	0.365079365	23	483	63	?a	3
?a  P161  ?h  ?h  P27  ?n  ?n  P37  ?b   => ?a  P407  ?b	0.207163601	0.018565108	0.33753943200000003	214	11527	634	?a	3
?a  P161  ?h  ?h  P19  ?n  ?n  P37  ?b   => ?a  P407  ?b	0.010648596000000001	0.012195122	0.3666666670000001	11	902	30	?a	3
?a  P17  ?h  ?h  P36  ?n  ?n  P37  ?b   => ?a  P407  ?b	0.019361084	0.005122951	0.4166666670000001	20	3904	48	?a	3
?a  P159  ?h  ?h  P17  ?n  ?n  P37  ?b   => ?a  P407  ?b	0.063891578	0.027977957	0.282051282	66	2359	234	?a	3
?a  P170  ?h  ?h  P27  ?n  ?n  P37  ?b   => ?a  P407  ?b	0.065827686	0.267716535	0.4689655170000001	68	254	145	?a	3
?a  P112  ?h  ?h  P27  ?n  ?n  P37  ?b   => ?a  P407  ?b	0.026137464	0.06323185	0.574468085	27	427	47	?a	3
?a  P17  ?b  ?b  P47  ?p  ?p  P530  ?b   => ?a  P495  ?b	0.022504892000000002	0.024316567999999997	0.856382979	161	6621	188	?a	3
?a  P161  ?h  ?h  P26  ?n  ?n  P27  ?b   => ?a  P495  ?b	0.194995807	0.554892601	0.558446757	1395	2514	2498	?a	3
?a  P161  ?h  ?h  P463  ?n  ?n  P495  ?b   => ?a  P495  ?b	0.013978194	0.833333333	0.8403361340000001	100	120	119	?a	3
?a  P17  ?h  ?h  P36  ?n  ?n  P463  ?b   => ?a  P463  ?b	0.026176905	0.088115118	0.451319381	496	5629	1099	?a	3
?a  P159  ?b  ?b  P17  ?p  ?p  P36  ?b   => ?a  P740  ?b	0.029641186	0.085778781	0.644067797	38	443	59	?a	3
?a  P159  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P740  ?b	0.047581902999999995	0.021942446	0.129237288	61	2780	472	?a	3
?a  P113  ?h  ?h  P17  ?n  ?n  P36  ?b   => ?a  P740  ?b	0.041341654	0.146814404	0.256038647	53	361	207	?a	3
?a  P17  ?h  ?h  P36  ?n  ?n  P37  ?b   => ?a  P37  ?b	0.38499587799999996	0.239241803	0.576899321	934	3904	1619	?a	3
?a  P131  ?h  ?h  P36  ?n  ?n  P37  ?b   => ?a  P37  ?b	0.024319867999999998	0.4469696970000001	0.7023809520000001	59	132	84	?a	3
?a  P131  ?h  ?h  P17  ?n  ?n  P37  ?b   => ?a  P37  ?b	0.01772465	0.014650767	0.20772946899999997	43	2935	207	?a	3
